Student_ID,Attendance_Percent,Study_Hours_Per_Day,Activities_Participation,Previous_Sem_Marks,Backlogs,Assignment_Completion_Percent,Participation_Score,Final_Marks,Pass_Fail
STU0044,74.4,1.8,1,67.1,2,64.6,3.1,35.1,Fail
STU0045,60.3,2.4,2,63.8,2,74.0,2.8,49.4,Pass
STU0046,69.4,1.4,5,73.7,3,55.8,4.2,49.1,Pass
STU0047,72.5,3.6,4,79.7,2,66.2,6.9,64.4,Pass
STU0048,90.7,2.2,2,59.6,2,77.1,1.8,56.0,Pass
STU0049,82.1,3.9,2,95.2,1,100.0,7.1,78.1,Pass
STU0050,56.8,0.9,5,60.6,1,51.6,4.8,38.3,Fail
STU0051,81.9,4.1,1,81.1,0,88.9,4.5,64.4,Pass
STU0052,73.4,4.9,2,77.2,2,97.0,5.9,75.2,Pass
STU0053,69.9,0.5,1,61.2,0,56.7,2.1,35.4,Fail
STU0054,85.3,4.1,3,74.4,0,78.1,4.5,80.5,Pass
STU0055,90.4,5.6,0,91.6,0,81.4,4.1,82.1,Pass
STU0056,89.2,1.4,0,46.8,3,59.9,1.6,33.2,Fail
STU0057,67.9,6.3,2,91.2,0,80.7,3.6,83.2,Pass
STU0058,74.3,4.2,1,65.9,2,86.9,2.6,61.6,Pass
STU0059,82.0,2.3,1,69.5,1,79.2,5.4,52.0,Pass
STU0060,89.7,3.4,2,89.7,0,84.9,5.0,77.9,Pass
STU0061,72.2,4.4,1,81.6,0,68.2,3.0,62.9,Pass
STU0062,75.8,3.6,2,84.0,1,94.9,5.8,72.9,Pass
STU0063,64.7,4.4,2,82.8,0,72.3,3.6,75.7,Pass
STU0064,63.6,1.9,3,57.8,1,64.6,1.7,50.7,Pass
STU0065,87.8,3.8,3,87.1,2,85.3,6.1,76.8,Pass
STU0066,94.3,1.1,1,52.0,3,71.6,5.8,38.7,Fail
STU0067,77.1,3.3,1,65.3,4,81.3,4.7,48.1,Pass
STU0068,90.0,2.0,1,80.0,1,66.3,0.7,55.2,Pass
STU0069,82.3,2.2,2,66.3,1,84.1,4.1,57.7,Pass
STU0070,70.3,5.6,2,67.8,2,72.1,4.6,61.2,Pass
STU0071,82.3,5.4,1,98.0,0,82.4,5.0,81.2,Pass
STU0072,96.5,4.5,1,90.2,0,100.0,2.9,74.6,Pass
STU0073,77.6,1.6,3,72.3,1,70.1,4.1,48.3,Pass
STU0074,96.8,3.0,1,69.3,3,100.0,1.7,51.5,Pass
STU0075,46.6,5.6,5,81.4,2,75.2,7.0,78.0,Pass
STU0076,87.9,3.7,2,81.9,2,100.0,2.5,69.1,Pass
STU0077,79.0,7.4,3,92.2,2,87.0,6.7,80.7,Pass
STU0078,74.4,4.2,0,70.8,2,66.0,2.4,52.5,Pass
STU0079,79.1,3.8,3,66.9,0,89.2,0.4,73.0,Pass
STU0080,54.1,3.0,0,54.3,3,43.2,4.4,33.5,Fail
STU0081,75.4,3.7,4,86.7,2,75.6,6.4,63.1,Pass
STU0082,82.3,3.2,1,66.6,2,89.6,5.9,73.2,Pass
STU0083,95.7,4.7,2,98.0,0,100.0,1.6,84.2,Pass
STU0084,71.8,5.1,3,71.5,2,85.5,4.4,62.2,Pass
STU0085,68.3,2.2,1,58.7,2,58.2,3.8,45.5,Pass
STU0086,72.0,1.2,0,49.8,1,60.3,3.7,40.3,Pass
STU0087,89.0,0.5,2,61.1,1,68.2,1.5,38.8,Fail
STU0088,81.9,4.4,2,91.8,1,79.0,5.3,76.6,Pass
STU0089,71.6,1.6,2,53.5,1,64.5,3.1,53.8,Pass
STU0090,84.2,0.5,0,52.5,1,70.6,0.0,37.6,Fail
STU0091,79.2,4.2,3,86.0,1,80.4,4.1,61.8,Pass
STU0092,89.6,7.7,5,98.0,0,100.0,8.0,100.0,Pass
STU0093,69.6,3.5,1,70.0,2,77.5,1.2,57.1,Pass
STU0094,74.1,4.9,2,72.9,0,90.7,5.8,73.4,Pass
STU0095,73.3,3.6,2,72.6,2,84.6,4.9,58.5,Pass
STU0096,60.4,3.3,6,84.0,0,56.4,6.3,89.7,Pass
STU0097,81.6,5.1,1,69.4,0,85.0,1.9,67.5,Pass
STU0098,81.1,3.0,2,67.4,1,70.7,2.0,52.5,Pass
STU0099,78.1,4.0,1,60.2,3,71.6,3.4,51.5,Pass
STU0100,75.2,4.0,1,78.3,1,61.7,2.4,65.9,Pass
STU0101,61.0,2.4,2,70.8,4,27.6,3.7,41.1,Pass
STU0102,73.0,5.2,0,75.7,0,98.4,5.2,59.7,Pass
STU0103,73.9,3.2,4,67.4,0,57.5,5.1,64.1,Pass
STU0104,68.4,2.2,2,55.5,3,78.8,3.7,51.3,Pass
STU0105,76.1,4.4,3,78.4,3,90.1,4.8,68.1,Pass
STU0106,82.8,2.0,1,63.4,1,65.3,5.1,46.7,Pass
STU0107,100.0,3.5,1,89.0,1,96.0,5.9,83.4,Pass
STU0108,80.1,3.5,3,72.1,2,82.7,5.7,71.0,Pass
STU0109,81.1,5.3,2,89.3,0,81.0,5.1,81.4,Pass
STU0110,77.1,4.3,2,76.0,1,82.4,5.0,75.5,Pass
STU0111,55.0,3.5,0,54.1,2,54.6,5.5,56.6,Pass
STU0112,77.7,4.9,1,77.1,0,93.5,5.0,69.8,Pass
STU0113,78.7,5.9,2,90.4,0,87.2,7.3,91.1,Pass
STU0114,100.0,4.4,0,91.8,0,95.2,3.0,91.3,Pass
STU0115,75.7,3.5,4,75.9,1,74.9,3.6,72.9,Pass
STU0116,81.6,1.3,5,60.6,0,65.0,4.6,58.0,Pass
STU0117,77.6,1.7,0,67.9,2,81.1,2.1,47.7,Pass
STU0118,64.0,3.0,0,54.1,2,63.6,5.7,53.9,Pass
STU0119,91.7,2.5,6,85.4,0,89.9,7.5,78.5,Pass
STU0120,87.0,3.2,0,71.9,3,84.9,2.3,51.8,Pass
STU0121,87.5,3.6,1,75.5,1,97.5,5.2,67.6,Pass
STU0122,67.1,4.4,0,66.5,1,74.3,3.4,55.2,Pass
STU0123,94.8,3.4,3,88.0,1,92.8,7.4,80.8,Pass
STU0124,61.2,4.3,2,43.2,5,73.3,4.2,38.9,Fail
STU0125,85.0,3.6,3,89.3,1,52.1,2.7,73.4,Pass
STU0126,100.0,0.5,5,66.4,2,57.6,5.1,63.3,Pass
STU0127,66.1,1.9,5,70.5,0,65.5,5.2,57.9,Pass
STU0128,71.2,3.3,2,73.0,1,77.1,2.4,61.4,Pass
STU0129,79.2,1.4,3,76.0,0,50.7,5.4,61.6,Pass
STU0130,72.0,4.5,6,87.9,1,83.4,9.1,87.4,Pass
STU0131,59.4,6.1,3,76.5,2,90.4,4.0,72.2,Pass
STU0132,78.8,5.6,2,73.3,3,92.0,6.5,63.4,Pass
STU0133,65.3,3.1,3,66.5,0,75.1,4.0,73.5,Pass
STU0134,83.7,6.0,1,72.9,0,100.0,4.5,92.3,Pass
STU0135,67.0,3.8,1,63.9,3,72.7,3.8,53.2,Pass
STU0136,96.6,2.9,4,81.1,0,78.5,5.4,82.0,Pass
STU0137,68.6,2.5,0,54.8,3,75.4,3.8,41.3,Pass
STU0138,74.1,3.0,6,79.1,2,76.3,5.0,75.2,Pass
STU0139,87.8,2.8,2,73.0,1,64.3,6.2,49.9,Pass
STU0140,63.2,3.8,3,69.4,0,73.5,5.9,69.3,Pass
STU0141,80.7,3.8,2,57.7,2,69.3,5.8,55.0,Pass
STU0142,93.7,3.5,0,66.3,3,76.4,2.2,52.7,Pass
STU0143,58.7,4.2,1,73.3,3,65.5,2.4,57.5,Pass
STU0144,80.2,5.5,4,97.3,0,93.2,7.9,94.5,Pass
STU0145,81.1,5.1,3,72.1,0,94.2,3.7,77.4,Pass
STU0146,87.4,1.0,3,60.1,4,60.8,4.6,33.1,Fail
STU0147,63.2,0.5,5,66.9,2,44.6,6.9,48.6,Pass
STU0148,62.2,5.1,1,68.5,0,74.8,4.1,72.3,Pass
STU0149,84.3,1.2,4,67.8,2,75.1,6.7,52.7,Pass
STU0150,81.6,3.1,1,83.1,1,48.2,3.4,48.8,Pass
STU0151,81.0,1.5,1,59.6,1,62.0,1.5,60.8,Pass
STU0152,82.2,0.5,1,53.4,2,74.1,3.7,42.9,Pass
STU0153,69.8,4.4,0,70.4,3,84.5,3.9,53.1,Pass
STU0154,80.8,4.8,1,95.3,0,100.0,8.3,93.9,Pass
STU0155,81.5,2.5,4,78.5,2,52.1,3.9,61.3,Pass
STU0156,69.4,0.5,2,54.5,0,39.3,3.3,52.3,Pass
STU0157,100.0,2.6,1,72.1,4,88.1,2.6,58.5,Pass
STU0158,83.7,4.2,1,82.6,1,100.0,3.9,64.2,Pass
STU0159,63.7,1.0,1,57.7,3,40.5,3.0,34.5,Fail
STU0160,85.9,3.8,2,70.8,2,80.0,3.2,73.0,Pass
STU0161,66.3,3.5,2,74.8,0,74.8,5.2,61.6,Pass
STU0162,87.4,4.5,0,78.2,1,75.0,3.3,60.9,Pass
STU0163,91.9,3.7,2,81.6,0,91.7,6.5,74.1,Pass
STU0164,68.2,1.8,1,51.9,3,33.6,2.5,38.4,Fail
STU0165,89.6,5.5,2,87.3,1,100.0,7.8,87.3,Pass
STU0166,83.0,3.2,2,66.8,1,68.3,4.8,50.9,Pass
STU0167,87.9,3.5,0,65.3,2,78.0,5.3,59.1,Pass
STU0168,100.0,1.9,2,77.9,1,84.9,4.3,63.9,Pass
STU0169,75.1,2.7,0,61.8,2,75.0,2.0,46.7,Pass
STU0170,69.0,2.0,3,54.1,3,61.8,4.3,38.8,Fail
STU0171,67.3,3.2,4,90.1,0,79.2,3.4,76.8,Pass
STU0172,68.2,6.4,4,81.7,0,75.4,6.1,93.5,Pass
STU0173,77.1,1.2,3,72.1,0,62.6,4.7,56.2,Pass
STU0174,82.1,0.8,3,51.4,2,52.5,4.4,33.7,Fail
STU0175,81.3,6.0,2,93.2,1,100.0,7.1,85.2,Pass
STU0176,87.9,3.1,0,70.2,0,87.2,3.1,69.0,Pass
STU0177,78.2,2.4,2,63.2,3,76.8,1.3,44.3,Pass
STU0178,95.4,5.3,3,95.2,0,100.0,10.0,87.3,Pass
STU0179,74.8,2.5,1,65.7,0,79.7,2.6,63.3,Pass
STU0180,100.0,6.6,2,94.2,2,100.0,6.7,97.6,Pass
STU0181,85.5,4.7,1,74.8,0,89.6,2.0,73.0,Pass
STU0182,67.7,2.7,1,50.7,3,71.9,4.1,32.3,Fail
STU0183,65.1,7.2,2,91.6,1,97.4,4.2,83.1,Pass
STU0184,83.8,2.5,3,63.3,2,80.4,0.5,55.3,Pass
STU0185,75.3,4.8,2,80.3,0,62.5,4.4,69.2,Pass
STU0186,86.6,4.0,0,81.1,1,100.0,3.4,72.3,Pass
STU0187,83.7,5.7,3,92.8,1,96.6,5.2,80.9,Pass
STU0188,77.1,6.2,2,82.9,0,79.3,5.5,83.9,Pass
STU0189,67.8,3.6,2,77.7,2,63.1,4.1,57.4,Pass
STU0190,59.8,2.2,0,52.1,3,37.1,3.2,35.5,Fail
STU0191,72.6,4.3,4,70.2,2,69.0,6.0,67.1,Pass
STU0192,88.3,2.3,2,70.1,1,73.6,4.1,59.9,Pass
STU0193,80.6,6.9,2,98.0,1,100.0,5.1,85.4,Pass
STU0194,63.1,3.7,1,61.8,2,74.9,2.6,51.9,Pass
STU0195,80.1,2.9,2,78.9,0,76.5,5.2,67.9,Pass
STU0196,82.6,3.8,2,71.9,1,70.8,4.1,60.7,Pass
STU0197,67.4,1.2,2,52.3,3,47.3,3.4,36.1,Fail
STU0198,79.8,1.8,4,62.1,2,59.4,5.9,57.4,Pass
STU0199,78.7,5.5,0,87.0,2,85.0,4.2,68.0,Pass
STU0200,64.3,2.4,1,59.9,1,58.5,2.6,53.5,Pass
STU0201,82.3,1.7,4,63.0,1,64.5,7.0,62.7,Pass
STU0202,84.7,4.4,0,74.7,4,84.1,1.8,45.0,Pass
STU0203,91.0,5.5,0,62.0,0,91.9,2.3,80.0,Pass
STU0204,90.6,4.7,3,94.9,0,94.3,6.3,93.7,Pass
STU0205,61.5,5.2,0,71.0,2,77.0,6.4,67.4,Pass
STU0206,66.7,2.2,1,41.2,4,46.2,2.7,31.2,Fail
STU0207,84.2,1.1,0,47.7,3,64.2,3.4,20.2,Fail
STU0208,84.2,6.1,1,85.5,3,97.5,2.8,77.6,Pass
STU0209,84.2,3.0,2,63.5,1,61.2,2.9,58.4,Pass
STU0210,100.0,3.1,2,87.7,0,80.6,6.1,80.2,Pass
STU0211,84.9,5.8,1,90.9,0,100.0,5.0,89.2,Pass
STU0212,91.6,4.4,2,88.2,0,80.1,6.5,94.0,Pass
STU0213,89.4,4.3,3,64.8,1,76.7,6.8,69.1,Pass
STU0214,85.8,7.2,0,89.3,0,100.0,1.2,82.6,Pass
STU0215,74.2,2.4,3,63.4,2,73.9,3.0,48.5,Pass
STU0216,87.1,5.1,1,77.1,1,100.0,4.7,68.9,Pass
STU0217,68.7,3.6,4,72.1,0,79.6,3.1,64.6,Pass
STU0218,75.2,4.0,5,73.3,2,89.9,4.7,59.7,Pass
STU0219,72.2,6.1,1,85.8,0,95.9,6.7,86.9,Pass
STU0220,79.0,4.4,1,83.5,0,77.1,3.3,84.7,Pass
STU0221,100.0,4.4,4,98.0,0,100.0,6.9,100.0,Pass
STU0222,55.6,5.3,1,71.7,0,77.0,4.3,64.2,Pass
STU0223,86.2,2.9,1,88.3,1,81.4,2.7,64.0,Pass
STU0224,58.6,2.1,3,69.8,0,47.3,2.2,62.6,Pass
STU0225,72.3,1.7,2,61.5,1,66.5,4.4,54.7,Pass
STU0226,91.1,0.5,0,55.1,4,62.4,4.8,33.4,Fail
STU0227,78.8,7.0,1,98.0,0,100.0,3.8,89.2,Pass
STU0228,65.1,1.6,2,66.7,1,56.3,4.1,57.5,Pass
STU0229,69.4,3.1,1,55.3,3,67.3,1.6,36.2,Fail
STU0230,86.2,3.0,4,88.3,0,83.4,4.4,81.6,Pass
STU0231,69.2,4.0,3,74.6,2,72.2,5.7,66.7,Pass
STU0232,80.6,4.9,0,71.8,3,72.6,4.8,58.6,Pass
STU0233,78.5,5.0,2,66.9,2,69.2,5.7,70.2,Pass
STU0234,70.2,2.5,4,67.9,0,68.0,2.3,63.7,Pass
STU0235,100.0,3.2,2,82.0,0,83.0,3.7,72.0,Pass
STU0236,85.6,4.0,1,90.7,3,67.7,2.6,61.5,Pass
STU0237,53.7,3.1,2,69.5,1,62.1,3.9,45.7,Pass
STU0238,80.2,6.2,2,85.7,4,96.8,5.0,74.9,Pass
STU0239,70.1,4.3,2,78.8,3,73.9,6.3,67.1,Pass
STU0240,88.2,4.7,1,90.0,1,94.2,4.7,73.4,Pass
STU0241,68.5,4.6,0,72.9,2,93.2,5.8,57.1,Pass
STU0242,76.6,5.5,3,82.3,0,100.0,4.5,80.9,Pass
STU0243,84.1,3.8,6,83.2,1,84.3,4.6,80.1,Pass
STU0244,88.4,1.3,1,67.5,1,66.8,5.6,55.6,Pass
STU0245,63.6,4.2,2,75.4,1,75.8,5.3,76.0,Pass
STU0246,74.0,2.4,2,64.3,0,70.5,3.1,68.2,Pass
STU0247,72.3,2.6,2,46.1,1,65.3,4.9,56.3,Pass
STU0248,70.2,4.5,2,66.3,3,81.8,6.0,60.2,Pass
STU0249,99.2,5.6,2,98.0,0,88.1,5.2,85.7,Pass
STU0250,82.9,3.5,1,57.4,3,81.1,2.8,60.5,Pass
STU0251,62.9,4.0,4,84.8,0,77.5,5.0,75.3,Pass
STU0252,89.0,6.4,3,98.0,1,98.8,6.2,94.5,Pass
STU0253,100.0,3.9,0,81.8,1,91.4,3.8,74.3,Pass
STU0254,90.4,7.9,2,98.0,1,100.0,7.4,98.6,Pass
STU0255,59.8,4.5,2,76.3,1,61.6,4.3,71.2,Pass
STU0256,72.2,0.5,3,56.8,0,55.4,2.8,52.0,Pass
STU0257,93.2,4.8,1,74.6,1,87.4,8.1,82.1,Pass
STU0258,69.5,4.1,2,82.1,1,59.5,4.9,69.8,Pass
STU0259,83.3,5.7,0,95.6,0,84.6,5.2,82.7,Pass
STU0260,87.3,4.6,3,77.1,2,80.9,6.1,73.4,Pass
STU0261,66.9,3.3,3,59.4,1,77.4,5.2,60.5,Pass
STU0262,77.3,1.4,2,61.6,0,64.2,3.6,47.3,Pass
STU0263,40.0,3.1,0,47.1,1,45.3,0.0,30.1,Fail
STU0264,65.7,2.1,3,64.7,1,54.6,3.1,57.1,Pass
STU0265,75.0,2.5,2,77.4,0,81.9,4.7,59.2,Pass
STU0266,63.0,4.5,4,60.1,4,85.5,1.7,50.8,Pass
STU0267,97.6,6.3,1,98.0,1,96.9,4.7,82.1,Pass
STU0268,60.8,4.2,3,69.8,2,84.3,6.2,61.3,Pass
STU0269,72.7,1.5,2,65.1,2,59.5,5.2,47.2,Pass
STU0270,79.6,4.3,4,88.6,1,91.5,6.7,78.9,Pass
STU0271,95.3,5.5,0,94.3,1,99.5,5.3,73.7,Pass
STU0272,60.8,2.5,2,62.0,2,72.5,6.6,50.5,Pass
STU0273,92.0,3.3,1,79.2,1,71.9,5.5,61.3,Pass
STU0274,78.1,3.5,1,74.7,0,75.1,4.2,63.3,Pass
STU0275,66.2,2.2,1,54.9,2,73.7,3.4,48.9,Pass
STU0276,83.5,4.6,0,64.3,1,64.2,3.8,67.3,Pass
STU0277,80.4,3.3,1,62.3,1,76.8,3.5,50.6,Pass
STU0278,70.8,4.2,2,74.5,1,74.5,6.3,77.8,Pass
STU0279,78.8,2.0,3,62.4,2,74.1,5.5,51.8,Pass
STU0280,73.4,2.8,5,68.7,2,80.4,5.4,60.2,Pass
STU0281,79.4,4.7,3,98.0,0,94.0,7.3,83.3,Pass
STU0282,85.9,2.9,2,81.1,2,79.7,3.9,62.8,Pass
STU0283,97.0,6.4,4,98.0,1,100.0,4.9,100.0,Pass
STU0284,63.1,2.8,3,72.0,1,61.0,4.8,50.6,Pass
STU0285,100.0,3.9,2,82.4,1,94.3,3.3,62.6,Pass
STU0286,54.6,5.1,1,72.0,0,90.2,5.7,72.6,Pass
STU0287,76.2,1.1,1,61.7,1,51.2,2.1,47.7,Pass
STU0288,85.1,0.5,4,62.0,1,56.3,4.7,53.7,Pass
STU0289,81.4,0.9,5,62.7,3,60.3,6.9,54.7,Pass
STU0290,70.5,5.6,1,90.7,1,98.3,3.4,70.2,Pass
STU0291,75.5,2.6,3,75.3,0,71.7,5.4,62.3,Pass
STU0292,72.1,7.8,2,77.8,2,100.0,4.1,82.0,Pass
STU0293,70.9,2.5,1,58.6,3,77.1,4.1,55.6,Pass
STU0294,88.2,3.8,2,74.2,1,91.1,5.4,74.7,Pass
STU0295,82.3,6.1,1,83.5,1,87.5,4.5,82.4,Pass
STU0296,69.7,6.9,2,96.6,0,100.0,5.4,85.3,Pass
STU0297,88.8,7.0,1,96.2,0,100.0,5.5,96.3,Pass
STU0298,81.7,5.6,0,71.7,0,94.4,3.5,67.4,Pass
STU0299,87.8,5.2,2,85.0,1,81.1,6.2,90.4,Pass
STU0300,85.6,4.5,1,85.3,2,73.0,6.2,63.2,Pass
STU0301,68.1,4.8,2,75.8,0,83.7,3.4,68.4,Pass
STU0302,71.3,2.6,3,63.5,1,60.1,7.4,51.2,Pass
STU0303,87.0,2.1,0,68.8,1,55.4,2.6,51.9,Pass
STU0304,85.3,3.5,0,86.0,0,65.6,6.4,70.7,Pass
STU0305,77.7,3.2,2,76.4,0,70.5,4.0,76.8,Pass
STU0306,79.4,2.7,1,79.0,0,74.7,4.8,70.6,Pass
STU0307,93.3,4.7,2,82.7,2,100.0,5.8,71.1,Pass
STU0308,70.9,5.1,3,82.5,2,89.7,4.9,78.4,Pass
STU0309,84.6,3.7,2,77.8,1,78.2,4.6,61.3,Pass
STU0310,75.6,6.0,3,90.4,2,97.4,7.8,79.3,Pass
STU0311,75.4,1.6,3,68.4,2,65.3,4.1,52.6,Pass
STU0312,91.2,3.2,3,73.0,2,89.7,4.3,59.3,Pass
STU0313,87.9,2.3,2,77.0,0,73.9,2.4,71.7,Pass
STU0314,87.8,0.5,0,44.6,2,72.1,5.0,51.7,Pass
STU0315,93.7,3.4,2,69.5,1,93.3,3.7,66.2,Pass
STU0316,78.3,3.3,2,90.5,0,76.9,6.2,71.3,Pass
STU0317,86.2,6.1,2,87.9,1,98.7,4.2,83.2,Pass
STU0318,74.3,4.6,3,86.8,1,92.1,7.0,75.8,Pass
STU0319,81.9,1.8,1,77.9,3,60.2,4.7,50.0,Pass
STU0320,76.4,6.7,2,72.6,2,83.5,4.9,66.6,Pass
STU0321,79.2,5.6,0,90.9,0,77.4,2.8,79.1,Pass
STU0322,85.1,4.5,0,83.6,1,80.3,2.6,79.6,Pass
STU0323,68.2,3.1,2,81.3,2,75.9,3.4,47.0,Pass
STU0324,100.0,1.9,3,67.4,2,73.9,6.2,53.7,Pass
STU0325,65.9,2.9,1,75.3,3,68.4,4.0,46.6,Pass
STU0326,63.4,5.4,1,70.4,1,77.4,2.7,68.4,Pass
STU0327,91.9,6.7,4,98.0,0,100.0,6.0,100.0,Pass
STU0328,87.5,6.1,1,90.3,0,90.7,4.4,91.0,Pass
STU0329,85.5,2.7,2,79.2,0,74.8,1.1,55.7,Pass
STU0330,85.5,1.6,0,63.1,0,66.5,2.6,48.7,Pass
STU0331,77.9,3.7,4,65.4,2,83.1,6.7,61.6,Pass
STU0332,67.2,0.5,3,35.0,3,53.4,4.1,30.2,Fail
STU0333,78.9,4.0,2,79.5,2,79.8,5.0,66.4,Pass
STU0334,69.9,3.2,2,67.5,0,56.1,5.1,54.8,Pass
STU0335,89.7,2.7,3,80.4,0,89.0,4.3,71.4,Pass
STU0336,76.2,0.8,3,58.9,3,56.6,5.4,45.9,Pass
STU0337,68.1,4.4,1,89.0,1,78.9,6.3,67.4,Pass
STU0338,74.1,2.6,3,71.9,1,84.9,2.5,60.6,Pass
STU0339,83.0,1.5,3,64.2,3,75.3,4.0,59.3,Pass
STU0340,71.2,0.5,0,53.4,1,57.1,6.1,52.6,Pass
STU0341,68.1,3.5,4,71.0,0,71.6,5.8,58.4,Pass
STU0342,80.9,6.5,4,97.4,0,100.0,6.3,98.6,Pass
STU0343,80.9,6.3,2,81.4,0,100.0,4.8,100.0,Pass
STU0344,71.9,2.7,2,67.5,2,72.7,6.2,59.1,Pass
STU0345,72.3,2.5,2,62.6,1,84.2,2.8,56.3,Pass
STU0346,80.8,4.3,0,66.6,1,100.0,5.0,73.7,Pass
STU0347,60.6,1.8,2,73.6,0,58.9,3.6,57.5,Pass
STU0348,61.1,4.0,2,61.5,2,50.2,3.5,56.5,Pass
STU0349,69.4,4.8,3,80.2,0,72.3,5.0,75.7,Pass
STU0350,75.4,5.6,0,74.0,1,100.0,3.8,72.3,Pass
STU0351,81.7,3.3,1,75.2,2,85.4,3.1,62.1,Pass
STU0352,95.7,3.2,3,71.9,1,89.0,6.6,77.8,Pass
STU0353,88.3,2.0,3,79.4,0,70.9,3.5,65.2,Pass
STU0354,76.1,2.1,4,86.6,1,54.6,5.4,63.1,Pass
STU0355,77.8,3.1,0,61.1,2,91.4,4.1,41.4,Pass
STU0356,66.0,4.1,3,84.7,2,66.9,5.4,64.3,Pass
STU0357,77.8,5.1,1,77.6,1,95.4,5.5,79.3,Pass
STU0358,74.5,2.1,2,77.5,2,52.9,3.5,55.4,Pass
STU0359,81.9,6.0,5,98.0,1,95.1,7.7,89.3,Pass
STU0360,68.1,3.0,0,61.4,0,78.6,4.2,46.0,Pass
STU0361,84.2,3.5,1,62.5,1,78.1,5.4,61.0,Pass
STU0362,96.4,2.2,3,84.9,1,74.9,1.9,72.5,Pass
STU0363,76.7,0.5,3,61.4,3,55.8,5.0,38.7,Fail
STU0364,82.8,5.0,1,86.5,3,77.2,5.7,58.4,Pass
STU0365,86.3,4.8,0,77.7,0,75.5,3.1,67.8,Pass
STU0366,73.2,3.0,3,64.9,2,78.5,4.1,59.8,Pass
STU0367,80.7,3.6,3,87.6,1,75.5,4.0,79.6,Pass
STU0368,78.2,4.4,0,77.5,1,90.7,2.0,63.6,Pass
STU0369,79.2,0.8,2,48.7,4,70.6,4.8,41.4,Pass
STU0370,68.7,2.6,0,66.7,0,78.0,6.6,65.1,Pass
STU0371,78.3,4.9,4,90.2,1,70.8,5.1,72.9,Pass
STU0372,84.0,1.4,0,58.2,3,58.8,2.1,44.2,Pass
STU0373,95.4,4.0,2,97.4,1,95.8,4.6,82.1,Pass
